Nota(duracao, frequencia, amplitude)
Nota(1.3669355,1174.659,20.0)
Nota(0.22782259,698.4565,20.0)
Nota(0.22782259,783.99084,20.0)
Nota(1.0252017,880.0,20.0)
Nota(0.22782259,659.2551,20.0)
Nota(0.22782259,698.4565,20.0)
Nota(0.22782259,783.99084,20.0)
Nota(3.6451614,698.4565,20.0)
Nota(0.22782259,293.66476,20.0)
Nota(0.45564517,440.0,20.0)
Nota(0.22782259,349.22824,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.45564517,391.99542,20.0)
Nota(0.22782259,349.22824,20.0)
Nota(1.139113,293.66476,20.0)
Nota(0.45564517,466.16376,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.45564517,440.0,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.45564517,523.25116,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.45564517,440.0,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,293.66476,20.0)
Nota(0.45564517,440.0,20.0)
Nota(0.22782259,349.22824,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.45564517,391.99542,20.0)
Nota(0.22782259,349.22824,20.0)
Nota(1.139113,293.66476,20.0)
Nota(0.45564517,466.16376,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.45564517,440.0,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.45564517,523.25116,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,587.3295,20.0)
Nota(0.22782259,587.3295,20.0)
Nota(1.0252017,880.0,20.0)
Nota(0.22782259,698.4565,20.0)
Nota(0.22782259,783.99084,20.0)
Nota(0.22782259,698.4565,20.0)
Nota(1.3669355,587.3295,20.0)
Nota(0.22782259,587.3295,20.0)
Nota(0.22782259,587.3295,20.0)
Nota(1.0252017,932.3275,20.0)
Nota(0.22782259,783.99084,20.0)
Nota(0.22782259,880.0,20.0)
Nota(0.22782259,783.99084,20.0)
Nota(1.3669355,659.2551,20.0)
Nota(0.22782259,659.2551,20.0)
Nota(0.22782259,659.2551,20.0)
Nota(1.0252017,1046.5023,20.0)
Nota(0.22782259,880.0,20.0)
Nota(0.22782259,932.3275,20.0)
Nota(0.22782259,1046.5023,20.0)
Nota(1.3669355,1174.659,20.0)
Nota(0.22782259,698.4565,20.0)
Nota(0.22782259,783.99084,20.0)
Nota(1.0252017,880.0,20.0)
Nota(0.22782259,659.2551,20.0)
Nota(0.22782259,698.4565,20.0)
Nota(0.22782259,783.99084,20.0)
Nota(3.6451614,659.2551,20.0)
Nota(0.22782259,293.66476,20.0)
Nota(0.45564517,440.0,20.0)
Nota(0.22782259,349.22824,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.45564517,391.99542,20.0)
Nota(0.22782259,349.22824,20.0)
Nota(1.139113,293.66476,20.0)
Nota(0.45564517,466.16376,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.45564517,440.0,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.45564517,523.25116,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.45564517,440.0,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,293.66476,20.0)
Nota(0.45564517,440.0,20.0)
Nota(0.22782259,349.22824,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.45564517,391.99542,20.0)
Nota(0.22782259,349.22824,20.0)
Nota(1.139113,293.66476,20.0)
Nota(0.45564517,466.16376,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.45564517,440.0,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.45564517,523.25116,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.45564517,220.0,20.0)
Nota(0.22782259,220.0,20.0)
Nota(0.22782259,220.0,20.0)
Nota(0.22782259,146.83238,20.0)
Nota(0.22782259,195.99771,20.0)
Nota(0.22782259,195.99771,20.0)
Nota(0.22782259,233.08188,20.0)
Nota(0.22782259,233.08188,20.0)
Nota(0.22782259,233.08188,20.0)
Nota(0.45564517,261.62558,20.0)
Nota(0.22782259,261.62558,20.0)
Nota(0.22782259,261.62558,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,349.22824,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,349.22824,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,293.66476,20.0)
Nota(0.22782259,349.22824,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.22782259,349.22824,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.22782259,349.22824,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.22782259,329.62756,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.22782259,523.25116,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,349.22824,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,523.25116,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,349.22824,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,587.3295,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.22782259,587.3295,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.22782259,391.99542,20.0)
Nota(0.22782259,466.16376,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.22782259,349.22824,20.0)
Nota(0.11391129,440.0,20.0)
Nota(0.11391129,349.22824,20.0)
Nota(0.11391129,440.0,20.0)
Nota(0.11391129,349.22824,20.0)
Nota(0.22782259,440.0,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,293.66476,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.11391129,587.3295,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,130.81279,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.34173387,146.83238,20.0)
Nota(0.11391129,146.83238,20.0)
Nota(0.22782259,146.83238,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,130.81279,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.34173387,146.83238,20.0)
Nota(0.11391129,146.83238,20.0)
Nota(0.22782259,146.83238,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,130.81279,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.34173387,146.83238,20.0)
Nota(0.11391129,146.83238,20.0)
Nota(0.22782259,146.83238,20.0)
Nota(0.22782259,195.99771,20.0)
Nota(0.22782259,174.61412,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.34173387,146.83238,20.0)
Nota(0.11391129,146.83238,20.0)
Nota(0.22782259,146.83238,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,130.81279,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.34173387,146.83238,20.0)
Nota(0.11391129,146.83238,20.0)
Nota(0.22782259,146.83238,20.0)
Nota(0.22782259,195.99771,20.0)
Nota(0.22782259,174.61412,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.34173387,146.83238,20.0)
Nota(0.11391129,146.83238,20.0)
Nota(0.22782259,146.83238,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,130.81279,20.0)
Nota(0.45564517,116.54094,20.0)
Nota(0.34173387,116.54094,20.0)
Nota(0.11391129,116.54094,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,110.0,20.0)
Nota(0.45564517,97.998856,20.0)
Nota(0.34173387,97.998856,20.0)
Nota(0.11391129,97.998856,20.0)
Nota(0.22782259,97.998856,20.0)
Nota(0.22782259,87.30706,20.0)
Nota(0.22782259,97.998856,20.0)
Nota(0.45564517,130.81279,20.0)
Nota(0.34173387,130.81279,20.0)
Nota(0.11391129,130.81279,20.0)
Nota(0.22782259,130.81279,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,130.81279,20.0)
Nota(0.45564517,110.0,20.0)
Nota(0.34173387,110.0,20.0)
Nota(0.11391129,110.0,20.0)
Nota(0.22782259,110.0,20.0)
Nota(0.22782259,97.998856,20.0)
Nota(0.22782259,110.0,20.0)
Nota(0.45564517,116.54094,20.0)
Nota(0.34173387,116.54094,20.0)
Nota(0.11391129,116.54094,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,110.0,20.0)
Nota(0.22782259,97.998856,20.0)
Nota(0.45564517,87.30706,20.0)
Nota(0.34173387,87.30706,20.0)
Nota(0.11391129,130.81279,20.0)
Nota(0.22782259,130.81279,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,130.81279,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.34173387,146.83238,20.0)
Nota(0.11391129,146.83238,20.0)
Nota(0.22782259,146.83238,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,130.81279,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.34173387,146.83238,20.0)
Nota(0.11391129,146.83238,20.0)
Nota(0.22782259,146.83238,20.0)
Nota(0.22782259,195.99771,20.0)
Nota(0.22782259,174.61412,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.34173387,146.83238,20.0)
Nota(0.11391129,146.83238,20.0)
Nota(0.22782259,146.83238,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,130.81279,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.34173387,146.83238,20.0)
Nota(0.11391129,146.83238,20.0)
Nota(0.22782259,146.83238,20.0)
Nota(0.22782259,195.99771,20.0)
Nota(0.22782259,174.61412,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.34173387,146.83238,20.0)
Nota(0.11391129,146.83238,20.0)
Nota(0.22782259,146.83238,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,130.81279,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.34173387,146.83238,20.0)
Nota(0.11391129,146.83238,20.0)
Nota(0.22782259,146.83238,20.0)
Nota(0.22782259,195.99771,20.0)
Nota(0.22782259,174.61412,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.34173387,146.83238,20.0)
Nota(0.11391129,146.83238,20.0)
Nota(0.22782259,146.83238,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,130.81279,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.34173387,146.83238,20.0)
Nota(0.11391129,146.83238,20.0)
Nota(0.22782259,146.83238,20.0)
Nota(0.22782259,195.99771,20.0)
Nota(0.22782259,174.61412,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.34173387,146.83238,20.0)
Nota(0.11391129,146.83238,20.0)
Nota(0.22782259,146.83238,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,130.81279,20.0)
Nota(0.45564517,116.54094,20.0)
Nota(0.34173387,116.54094,20.0)
Nota(0.11391129,116.54094,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,110.0,20.0)
Nota(0.45564517,97.998856,20.0)
Nota(0.34173387,97.998856,20.0)
Nota(0.11391129,97.998856,20.0)
Nota(0.22782259,97.998856,20.0)
Nota(0.22782259,87.30706,20.0)
Nota(0.22782259,97.998856,20.0)
Nota(0.45564517,130.81279,20.0)
Nota(0.34173387,130.81279,20.0)
Nota(0.11391129,130.81279,20.0)
Nota(0.22782259,130.81279,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,130.81279,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.34173387,146.83238,20.0)
Nota(0.11391129,146.83238,20.0)
Nota(0.22782259,146.83238,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,130.81279,20.0)
Nota(0.45564517,116.54094,20.0)
Nota(0.34173387,116.54094,20.0)
Nota(0.11391129,116.54094,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,110.0,20.0)
Nota(0.45564517,97.998856,20.0)
Nota(0.34173387,97.998856,20.0)
Nota(0.11391129,97.998856,20.0)
Nota(0.22782259,97.998856,20.0)
Nota(0.22782259,87.30706,20.0)
Nota(0.22782259,97.998856,20.0)
Nota(0.45564517,130.81279,20.0)
Nota(0.34173387,130.81279,20.0)
Nota(0.11391129,130.81279,20.0)
Nota(0.22782259,130.81279,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,130.81279,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.34173387,146.83238,20.0)
Nota(0.11391129,146.83238,20.0)
Nota(0.22782259,146.83238,20.0)
Nota(0.22782259,116.54094,20.0)
Nota(0.22782259,130.81279,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.34173387,146.83238,20.0)
Nota(0.11391129,146.83238,20.0)
Nota(0.22782259,146.83238,20.0)
Nota(0.22782259,195.99771,20.0)
Nota(0.22782259,174.61412,20.0)
Nota(0.45564517,146.83238,20.0)
Nota(0.34173387,146.83238,20.0)
Nota(0.11391129,146.83238,20.0)
